killed_by,killer_placement,killer_position_x,killer_position_y,victim_placement,victim_position_x,victim_position_y,vektorX,vektorY,vzdialenost
AKM,5.0,285104,283741,11.0,283980,280796,1124,2945,3152
AKM,1.0,175532,200234,15.0,173436,198643,2096,1591,2631
AKM,22.0,304096,506406,39.0,304025,503278,71,3128,3128
AKM,1.0,276149,253948,2.0,274127,254196,2022,248,2037
AKM,14.0,324428,526552,27.0,313801,526129,10627,423,10635
Kar98k,2.0,108682,123568,31.0,113251,122261,4569,1307,4752
Kar98k,10.0,412511,627034,24.0,412221,619593,290,7441,7446
AWM,2.0,274171,253886,6.0,288788,256721,14617,2835,14889
AKM,4.0,287752,264316,5.0,288908,263987,1156,329,1201
AKM,18.0,186067,224097,30.0,186578,223951,511,146,531
AKM,9.0,162984,276349,44.0,164833,276474,1849,125,1853
M24,7.0,359648,622314,5.0,341957,624191,17691,1877,17790
AKM,17.0,382389,129484,29.0,380316,129720,2073,236,2086
AKM,36.0,464261,640920,39.0,463734,641183,527,263,588
Kar98k,2.0,334667,676045,5.0,335604,663447,937,12598,12632
AKM,3.0,420269,324723,43.0,420698,324738,429,15,429
AKM,31.0,384876,125380,33.0,384400,125067,476,313,569
Kar98k,2.0,334765,675920,4.0,329907,671775,4858,4145,6386
Kar98k,2.0,528200,643985,11.0,527995,654656,205,10671,10672
AKM,16.0,584028,484208,15.0,582838,485376,1190,1168,1667
AKM,36.0,456781,629286,46.0,456797,629811,16,525,525
M24,7.0,356239,573607,14.0,361521,580399,5282,6792,8604
AKM,31.0,385503,125000,33.0,385206,125144,297,144,330
AKM,30.0,467126,640060,32.0,466964,639703,162,357,392
AKM,25.0,266627,431311,50.0,275049,432314,8422,1003,8481
Kar98k,2.0,186720,469046,15.0,188976,457625,2256,11421,11641
AKM,50.0,427639,631525,60.0,418882,634399,8757,2874,9216
Kar98k,2.0,196777,467325,8.0,202920,483387,6143,16062,17196
AKM,9.0,223860,468156,29.0,223896,460722,36,7434,7434
Kar98k,2.0,186671,469110,18.0,192393,453115,5722,15995,16987
AKM,30.0,169735,614594,59.0,172065,615359,2330,765,2452
Kar98k,51.0,446053,621393,64.0,446361,629563,308,8170,8175
AKM,46.0,555869,504073,71.0,555150,504041,719,32,719
Kar98k,2.0,196801,467542,9.0,213989,468349,17188,807,17206
Kar98k,2.0,209487,464912,6.0,210197,468110,710,3198,3275
AKM,25.0,399662,352681,26.0,395206,347897,4456,4784,6537
AWM,1.0,639000,367562,6.0,640972,381325,1972,13763,13903
AKM,6.0,699957,257235,2.0,700159,257091,202,144,248
AKM,10.0,367634,509372,47.0,367440,508512,194,860,881
AKM,20.0,296064,261537,16.0,303562,268471,7498,6934,10212
Kar98k,3.0,512317,415474,13.0,517168,411458,4851,4016,6297
AKM,10.0,355396,521996,33.0,350933,519587,4463,2409,5071
AKM,20.0,215428,278240,41.0,210624,276603,4804,1637,5075
AKM,1.0,279287,561748,40.0,281906,559362,2619,2386,3542
AKM,1.0,278544,567215,35.0,278422,567502,122,287,311
Kar98k,10.0,485310,449094,19.0,438762,468289,46548,19195,50350
AKM,8.0,447488,629189,32.0,451376,629054,3888,135,3890
AKM,1.0,281789,567068,35.0,283536,568107,1747,1039,2032
Kar98k,3.0,601335,403808,8.0,611203,404398,9868,590,9885
