player_dist_ride,player_dist_walk,player_dmg,player_kills,team_id,team_placement,top3
0.0,372.259338,23,0,100079,51,0
0.0,147.4243,181,0,100084,81,0
0.0,1359.78052,90,1,100088,23,0
0.0,2165.21338,79,0,100089,37,0
0.0,317.661163,60,0,100091,62,0
9924.405,1307.05933,73,0,100003,14,0
0.0,9.840544,86,0,100004,91,0
4071.8396,2325.51416,820,7,100006,3,1
0.0,33.22615,173,1,100014,88,0
0.0,44.8214951,132,1,100021,99,0
9194.117,2074.5947300000003,0,0,100032,18,0
312.4675,5010.2583,183,2,100037,19,0
2573.6929999999998,3008.3579999999997,66,0,100038,11,0
0.0,46.7934456,0,0,100040,83,0
0.0,182.051559,0,0,100042,76,0
2227.35083,1382.1131599999999,82,1,100048,25,0
0.0,1991.11365,314,2,100055,44,0
5778.51172,900.7041630000001,43,0,100057,27,0
0.0,392.28204300000004,83,0,100061,74,0
0.0,90.91039,22,0,100064,84,0
2172.21069,3550.34253,11,0,100065,16,0
0.0,3653.91626,91,0,100070,13,0
0.0,27.56042,72,0,100076,96,0
0.0,1018.94653,109,0,100086,31,0
0.0,91.51311,0,0,100088,92,0
0.0,113.790627,0,0,100089,80,0
0.0,3357.38525,75,0,100091,28,0
0.0,1324.73718,0,0,100098,53,0
0.0,2828.475,390,3,100099,17,0
738.3497,907.8768,100,1,100005,48,0
0.0,33.94086,0,0,100008,93,0
0.0,1199.53137,0,0,100009,33,0
2291.38354,1082.9271199999998,27,0,100015,52,0
0.0,71.4728,57,0,100019,86,0
5225.663,1854.943,299,3,100024,7,0
0.0,1042.93738,69,0,100025,57,0
4220.31641,1632.6254900000001,100,0,100026,24,0
0.0,58.467514,71,0,100031,83,0
2539.37817,526.5658,91,1,100036,55,0
0.0,891.835632,0,0,100043,59,0
0.0,5.780489,0,0,100053,98,0
3954.4359999999997,1033.9851099999998,141,2,100054,36,0
0.0,223.406052,0,0,100060,77,0
0.0,4067.89087,116,2,100071,8,0
6316.31,984.9938,100,1,100073,42,0
0.0,233.61598199999997,173,1,100079,78,0
1568.54749,1012.78162,272,3,100082,40,0
1378.4868199999999,479.98175,92,0,100084,56,0
0.0,880.0092,76,1,100090,34,0
0.0,105.34645800000001,0,0,100092,79,0
2045.8497300000001,632.039246,0,0,100095,58,0
4686.058,952.767639,9,0,100096,47,0
0.0,278.466766,0,0,100097,61,0
370.0981,3109.13159,217,2,100001,12,0
0.0,3152.91968,481,4,100011,5,0
0.0,255.068771,233,2,100012,66,0
1366.21155,960.6416630000001,285,2,100013,15,0
0.0,290.940765,49,0,100017,69,0
378.417877,50.945713,0,0,100018,81,0
0.0,29.0263958,23,0,100022,90,0
4508.9165,1463.1423300000001,104,1,100039,32,0
0.0,13.879979999999998,0,0,100044,87,0
0.0,354.919067,62,0,100046,62,0
4019.6027799999997,1842.4826699999999,3,0,100047,6,0
8173.096,659.960754,123,1,100049,49,0
0.0,361.0109,71,1,100056,71,0
2299.42847,1446.76233,20,0,100059,39,0
0.0,2177.877,0,0,100062,29,0
4896.069,1647.0402800000002,194,2,100063,35,0
0.0,639.474854,0,0,100066,46,0
0.0,884.227051,181,1,100067,45,0
0.0,592.9997559999999,77,0,100068,65,0
0.0,295.71295200000003,100,1,100072,67,0
0.0,4232.28662,1332,7,100077,4,0
0.0,48.55279,0,0,100080,85,0
944.404,1890.59875,47,0,100083,38,0
0.0,725.7317,0,0,100093,70,0
0.0,25.7706413,0,0,100000,97,0
0.0,330.408051,100,1,100002,63,0
0.0,593.935852,272,3,100007,64,0
5047.213,1322.72949,219,2,100010,37,0
0.0,1028.74121,146,1,100016,51,0
5559.84668,883.6527,261,2,100020,43,0
798.8067,2243.33228,75,1,100023,23,0
4646.312,3637.11816,177,1,100027,10,0
2792.575,2543.81836,83,1,100028,20,0
0.0,0.0,0,0,100029,100,0
0.0,0.0,0,0,100030,100,0
1.64596772,2354.4016100000003,82,0,100033,72,0
0.0,199.5851,160,1,100034,75,0
0.0,682.4895,0,0,100035,54,0
1350.5639999999999,3689.88965,390,3,100041,9,0
3512.2859999999996,1484.80249,531,5,100045,1,1
0.0,0.0,0,0,100050,100,0
